"","Sample","posterior","likelihood","prior","treeLikelihood","TreeHeight","YuleModel","birthRate"
"3",2000,-6863.49228120765,-6858.78167488839,-4.71060631926306,-6858.78167488839,1.031658883391,-4.71060631926306,0.712905231103755
"4",3000,-6863.28770267856,-6858.36454566168,-4.92315701688398,-6858.36454566168,1.1248985428841,-4.92315701688398,0.94482191011028
"5",4000,-6869.70903567314,-6863.98682058714,-5.7222150860037,-6863.98682058714,1.17014761018876,-5.7222150860037,0.438233130100642
"6",5000,-6863.32665732131,-6857.51507713761,-5.81158018369967,-6857.51507713761,1.03642284643048,-5.81158018369967,1.61104489750195
"7",6000,-6864.30850526856,-6858.70972433526,-5.59878093329101,-6858.70972433526,1.05648627209041,-5.59878093329101,1.36007828571714
"8",7000,-6863.44133841054,-6857.85617988166,-5.58515852888005,-6857.85617988166,1.02734724833466,-5.58515852888005,1.53373505907064
"9",8000,-6864.92448927431,-6860.38718168892,-4.53730758538538,-6860.38718168892,0.931472660850599,-4.53730758538538,0.664441847664142
"10",9000,-6863.5630637139,-6858.79990748872,-4.76315622518606,-6858.79990748872,0.977716420855387,-4.76315622518606,1.11574145896032
"11",10000,-6868.29257961373,-6863.56514356465,-4.7274360490869,-6863.56514356465,0.986400426212176,-4.7274360490869,0.620083875083476
